soort	frequentie	jaarlijks	looptijd	klasse	verloop	analyse	status
Kievit	driejaarlijks	-8.5% (-9.1%; -7.8%)	-68.4% (-71.2%; -65.3%)	--	lineair	6dc92feaab75f95a7709ed0f4eb4c2e5fcff371e	ce613702daf57c7927d6348dd71bd4de88841579
Kievit	jaarlijks	-8.5% (-9.1%; -7.8%)	-68.4% (-71.3%; -65.4%)	--	niet-lineair	c42db929991210a85dfd5a20f10bd83ab7743c6d	6ed1ee67659129589dc933e630fd28ff26f24f9f
Merel	driejaarlijks	-3.45% (-3.70%; -3.19%)	-36.6% (-38.7%; -34.4%)	--	niet-lineair	3e3b321173e278af667d95e8c7f21c80411f5d04	fc2604a99b1194e7b70dc94d11f91bec97d59906
Merel	jaarlijks	-3.38% (-3.63%; -3.12%)	-36.0% (-38.2%; -33.8%)	--	niet-lineair	de2e860380c92207dcd2364d1b109d1cb52e71bf	eb31af462d5171a302ee30ae7dc995ac9c2bc14a
Patrijs	driejaarlijks	-4.8% (-6.2%; -3.4%)	-47% (-57%; -36%)	--	niet-lineair	34b29c627fb1d6519b9f088aa5ee0edded69c6de	f1dd669817296c5303a8df3c2afe9045e76ae962
Patrijs	jaarlijks	-4.8% (-6.2%; -3.4%)	-47% (-56%; -36%)	--	niet-lineair	99f0f1b5dde44b1322ec7004b7fc98de5704f06c	f4d303237d3980a83d822b1e30dae9954de5dd3f
Ringmus	driejaarlijks	-3.7% (-5.3%; -2.2%)	-39% (-51%; -25%)	--	niet-lineair	a1452749feafbb3fca1613eb6b97958a9d7ab624	0abacfffa8133f6a2e27fbe9557528ab73ddecc0
Sprinkhaanzanger	driejaarlijks	-10.47% (-14.07%; -6.73%)	-76% (-86%; -60%)	--	mogelijk niet-lineair	996399444f5fff379ea97480d76a04c0609b04bd	ac0c7cbaae63b90b088613cf5ad4c43ae6814b2e
Sprinkhaanzanger	jaarlijks	-9.70% (-13.21%; -6.05%)	-73% (-84%; -56%)	--	mogelijk niet-lineair	cbd2ce01db3ded7f02211b47c948af5ffe87da88	12a191136e91d25c088e3bb442ff1b72da56e6a0
Stadsduif	driejaarlijks	-5.4% (-8.1%; -2.7%)	-52% (-67%; -30%)	--	niet-lineair	89fcdc963a71a285577efbf2bf3e9df269054807	4e2f0e3b0c9a465bc4565c1ca6c39f0b390ebd6f
Stadsduif	jaarlijks	-5.4% (-8.1%; -2.6%)	-51% (-67%; -29%)	--	niet-lineair	e933b9d68ecef09f95b49785bdface5a16a63011	8a0a279951e83f78ad8990a8ff4e24f785dc055a
Tuinfluiter	driejaarlijks	-5.9% (-7.7%; -4.1%)	-55% (-65%; -42%)	--	lineair	2b031062fc4dc715ca06d22d081aaafc7cd4efb9	348a4a602bf107f721ab5b1a4c349be47a427895
Tuinfluiter	jaarlijks	-5.9% (-7.7%; -4.0%)	-55% (-65%; -41%)	--	niet-lineair	ed83cdc40f4e988c73fe9a19bc5713a79ac4f110	0d7d05d645ed3e796c07d9ffddf5b4afe49be7e7
Zanglijster	driejaarlijks	-3.6% (-4.2%; -3.1%)	-38.2% (-42.8%; -33.2%)	--	niet-lineair	a711fba82786b0277d5b780a476287a333fbf0c2	6bfbbb2b78b493aa47fdf1b1d265b4f4bb7ba962
Zanglijster	jaarlijks	-3.5% (-4.1%; -3.0%)	-37.4% (-42.0%; -32.4%)	--	niet-lineair	8e022bbf8ec23480cf8475d2130b335a8eef5ffe	d6c2a856e30cdc22c3574d98db829f49191804bc
Zwarte mees	driejaarlijks	-7.30% (-10.24%; -4.27%)	-63% (-75%; -43%)	--	mogelijk niet-lineair	21cfd14a79286730ad5f038b1235da9f7eaac082	efd976cf66b84e71f1787749b1b5719b269374a8
Zwarte mees	jaarlijks	-7.0% (-9.9%; -4.0%)	-61% (-74%; -41%)	--	niet-lineair	b2d659fe8a7cab95f7c992a24354e9747af4fdde	d45052eff91073e536b8c3c244af877fd94dc680
Bergeend	jaarlijks	+1.3% (-0.4%; +3.0%)	+18% (-5%; +46%)	?+	niet-lineair	d61238bdadccedb49ca3addfb08b84b89be82184	f7f5e7a62a00aa073fc54a72d6b9ed7c9f3eec07
Bonte vliegenvanger	driejaarlijks	+2.4% (-1.0%; +6.0%)	+37% (-12%; +114%)	?+	lineair	0a2084b7f3c272a7926147ceb9e20e298e6ffe89	a3a01d368e96565128a2bf132538d258bd6787e1
Bonte vliegenvanger	jaarlijks	+3.4% (-0.0%; +6.9%)	+54% (-0%; +137%)	?+	lineair	fa0e2b7cbca8b6eda2d63c37da007b8d3a884594	77c351450f31250d2f7c90705494b9faf852b8fc
Boomleeuwerik	driejaarlijks	+4.5% (-0.2%; +9.5%)	+80% (-0%; +220%)	?+	mogelijk niet-lineair	2648b3b1de24161024e67292f77ea35e53b21d1e	1070aa7983edf177656e5b3ae1d7a594171f1cef
Boomleeuwerik	jaarlijks	+4.8% (-0.0%; +9.9%)	+80% (-0%; +240%)	?+	niet-lineair	45082c9e4459881ed37d707b5c0828cbaf4e9ffa	8c987e4e06c046dc7c9d987c40971d2f4a188207
Bruine kiekendief	driejaarlijks	+2.2% (-1.1%; +5.6%)	+32% (-14%; +102%)	?+	lineair	45d89eb8f3c2e19347681d3cac75b901dbfe6f8a	c0b43a318897df8351ce1ca979fe18572952b819
Bruine kiekendief	jaarlijks	+2.3% (-1.0%; +5.7%)	+35% (-12%; +106%)	?+	lineair	0e63e1cb6e490d19db2b074fda555f14e375eeca	bc99eceafc29a521162b8aa13393a545e51adada
Gekraagde roodstaart	driejaarlijks	+2.8% (-0.3%; +6.1%)	+44% (-3%; +115%)	?+	niet-lineair	28d6d96f2db458a134c8e2653f4d59c20d1a8843	3bbdbd7f62bc43d0fa26f20c58f26a3a3f23e002
Gekraagde roodstaart	jaarlijks	+3.0% (-0.2%; +6.2%)	+46% (-3%; +119%)	?+	niet-lineair	9ab8978d5aa0ea1a3aeaca5e7f21877eda5ddd42	bb88127e4f19fa62bb0ea79b8d5eaae01463c4f3
Gierzwaluw	driejaarlijks	+2.2% (-0.1%; +4.5%)	+32% (-1%; +77%)	?+	niet-lineair	d9c294799c62e0a5d45771b6f0fef4f26606d996	a0c33c033ac5929088c6c9f2d242348747888acd
Gierzwaluw	jaarlijks	+2.3% (-0.0%; +4.6%)	+34% (-0%; +80%)	?+	niet-lineair	5aad4cbcea2c53795cdd0ce11655c2b4c326f617	828aef96a1fbb1046562034d40b53a3ae01ca66b
Grauwe gans	driejaarlijks	+1.9% (-1.5%; +5.4%)	+30% (-20%; +100%)	?+	niet-lineair	0bd669eae3ac1182d6944f7f3784718523e0b3e8	913baf85c0f72984f3757ed0abb058ceaaf0adec
Grauwe gans	jaarlijks	+2.4% (-1.1%; +5.9%)	+36% (-13%; +112%)	?+	niet-lineair	cd11c364c5b1b1345ed69641bbac9710de637b11	48c046bf8f506633a52d2526c0c7ac3e1e3d0aa9
Huiszwaluw	driejaarlijks	+3.3% (-0.2%; +6.9%)	+53% (-2%; +139%)	?+	niet-lineair	ce8fb76cc677aa59a52b9823d7d0c7f34bf95936	882252b86529d7507162d3ab9590b7c7561df246
Huiszwaluw	jaarlijks	+2.5% (-0.9%; +6.0%)	+38% (-11%; +115%)	?+	niet-lineair	26993e9f0bf4d129844c4f0420732b7d726a2acb	e2f026b46ff74ae274f80e14fc03203ecd21d252
Kneu	driejaarlijks	+0.8% (-0.7%; +2.3%)	+11% (-8%; +34%)	?+	mogelijk niet-lineair	9039bdd2d952262458331eae7b05de26b30bb2fc	07762bfd422eecc9caf47b4e6b77f22b2539630c
Kuifeend	driejaarlijks	+3% (-2%; +8%)	+48% (-21%; +179%)	?+	mogelijk niet-lineair	c946436db66f27af9b9e6d6d9dc04bb6ef9b2b16	d23619291dbfa90935a455f7c994086a4663d1b0
Kuifeend	jaarlijks	+3% (-1%; +9%)	+55% (-17%; +191%)	?+	niet-lineair	96a8db4c36c55b62fde2c661beafd9562963d960	0e1c0774f1c2a240c50f7d38cc74b5fa62ee0d29
Rietzanger	driejaarlijks	+1.6% (-0.0%; +3.2%)	+23% (-0%; +51%)	?+	lineair	3fca8f2bb642582a8b8371720e771dac69b34d5e	6832f348d23d8387af7cfb299a835f0a2ee5973a
Rietzanger	jaarlijks	+1.5% (-0.1%; +3.1%)	+22% (-1%; +49%)	?+	niet-lineair	ddff006f76e6fbd79715d857e8ec431df573a809	d17264ebea5ca1b0bf4afaa63a9586edb03e8068
Dodaars	driejaarlijks	-5.8% (-12.7%; +1.7%)	-50% (-80%; +20%)	?-	niet-lineair	2f743dd15471aee47791b2ed8893d2a3072a01c9	8a26324136ab4aeb745e9ebf041b36a466f9a7a8
Dodaars	jaarlijks	-5.9% (-12.9%; +1.6%)	-50% (-80%; +20%)	?-	niet-lineair	a0c0800f84f3eaa9bc11d632732e633789fc5b21	581f940f416410b1aa8708ccd8444db0720935ea
Fuut	driejaarlijks	-1.2% (-4.0%; +1.7%)	-15% (-42%; +24%)	?-	lineair	cf1ab2f86150a53155b9b1f7d90300bee448c418	2f9e69a48df927f95e2f9fc38b2bc7fa813c51be
Fuut	jaarlijks	-1.1% (-3.8%; +1.5%)	-14% (-39%; +22%)	?-	niet-lineair	5087a2eb716e97b47a232eaf70be8a6b52e1a618	5a7f9bc89da212c2dacf41a2e20a58973bbefb6f
Kuifmees	driejaarlijks	-1.8% (-3.7%; +0.0%)	-21% (-39%; +1%)	?-	mogelijk niet-lineair	e2bd2a2655ddb7aa1faee4b728517034001efa11	f9e583414528d846a46d48b570e5713f3ea5c00d
Kuifmees	jaarlijks	-1.6% (-3.4%; +0.3%)	-18% (-36%; +5%)	?-	niet-lineair	a4d7cf7b1d8b316c2bbb22d68e70433b063969a7	313ce63259c446972e78c761aacd39e740dc79be
Nachtegaal	driejaarlijks	-2.2% (-4.9%; +0.6%)	-25% (-48%; +9%)	?-	niet-lineair	7e12d058697c4ff45d52e4b6a83387f1cbc69284	75d57ee3d83abbc099f45eadd8874da3791ed1e2
Nachtegaal	jaarlijks	-2.0% (-4.7%; +0.9%)	-23% (-47%; +12%)	?-	niet-lineair	a6462c0fbb894fba7e1f5bd9695332a463b6ab28	12aa5c9546443f662a478df633bd23a19a12a253
Rietgors	driejaarlijks	-0.7% (-2.7%; +1.4%)	-8% (-30%; +21%)	?-	niet-lineair	8de96c960880793a8313a1a2ea5a7a69199256f6	b5d40eed64ca2ac47a6e31a265c85ab0bce3b4b0
Rietgors	jaarlijks	-0.8% (-2.8%; +1.3%)	-10% (-31%; +18%)	?-	niet-lineair	357ea28b251c839c4d2fe60ffe852944ef40d886	156b5029c892a129d3378e2970126a34a5993b87
Spotvogel	driejaarlijks	-2.7% (-6.5%; +1.4%)	-30% (-59%; +20%)	?-	niet-lineair	8c274897e43b5e3336b075be1b88806241c2df96	c3ad47596db462de06d9db65e5d02466a6d794d2
Spotvogel	jaarlijks	-2.3% (-6.2%; +1.8%)	-26% (-56%; +27%)	?-	niet-lineair	b5787f33325703f152fa2c4c237412a202cc92e5	5499e9624964c6a3b24cb89237ac3d704c2f58ba
Wielewaal	driejaarlijks	-3.2% (-7.0%; +0.8%)	-34% (-61%; +11%)	?-	niet-lineair	12b36f26994e73953ba291fb5c0e6df4a9907c7c	c07934602a84ce3a4d28b151d05cbc2ae480a563
Wielewaal	jaarlijks	-3.4% (-7.2%; +0.6%)	-36% (-62%; +8%)	?-	niet-lineair	cc441596c9ebcb1f52e83eb697d4c42e892e8730	892af8da05dcdaa84e60e0b6539e79f9a5f8759a
Wulp	driejaarlijks	-1.9% (-3.9%; +0.1%)	-23% (-40%; +1%)	?-	niet-lineair	65883ee13f2bd338620c2ebb0a4f87d2cdbcae14	7e98fc622406587f4662d2ac307da713085eb96a
Wulp	jaarlijks	-1.8% (-3.8%; +0.2%)	-21% (-39%; +2%)	?-	niet-lineair	ea325e5775f8dc1a4680687d98b9069a5e9d14ea	fdb08a75db5f603fd7be1cd4d434417367185973
Zwarte specht	driejaarlijks	-1.6% (-4.8%; +1.8%)	-18% (-47%; +26%)	?-	niet-lineair	e503a3763255623e255ec7aa6ea855ce1f6bc353	eb574b4acca6e7ae6c92e98a1a169d44ade45370
Zwarte specht	jaarlijks	-1.4% (-4.7%; +2.0%)	-17% (-47%; +30%)	?-	niet-lineair	0bd7772a491c059718f67cc71fc18ce3085f13e2	c450d1775a89351173fe112f8c10472ad2156502
Bosrietzanger	driejaarlijks	-0.3% (-3.5%; +3.0%)	-3% (-37%; +47%)	?	lineair	713f0bd55061aa90f3fb41f6bbb85e6f60fd715e	130481f5226f3c259f96f3b06ea13962dcb95d73
Bosrietzanger	jaarlijks	+0.2% (-3.0%; +3.6%)	+3% (-32%; +58%)	?	mogelijk niet-lineair	d8e78a467132fe3c6fdc40ce1535f3c948c3e26f	6be7f005e1c98a2e58c83537c0886ea50b99cbf8
Glanskop	driejaarlijks	+0.9% (-3.8%; +5.8%)	+12% (-40%; +108%)	?	mogelijk niet-lineair	5316765f4bcf1f809a0a9ecc7ba13bd1b199fb8f	1fbd0fd907885feb350effaa2c7e65bca1334efe
Glanskop	jaarlijks	+0.9% (-3.8%; +5.9%)	+13% (-39%; +110%)	?	mogelijk niet-lineair	d82aa50edda4671931601049e22167b9d125390b	7c97c6b8092c4fbbac94015a672881649682f872
Grutto	driejaarlijks	-1% (-8%; +7%)	-9% (-64%; +130%)	?	lineair	d8366b0e265be6a53a2a7c44edb4ebe7fc6aed51	d55f523105ab861d653cd589675e2a3f272d96a3
Matkop	driejaarlijks	-3% (-9%; +4%)	-30% (-70%; +60%)	?	lineair	cd1d97e5ca28c4e41492de76c7a23dee952f1c59	4303723ec31925d1db6b86b7f8f84dd734930942
Matkop	jaarlijks	-3% (-9%; +4%)	-30% (-70%; +60%)	?	mogelijk niet-lineair	c07388bd023a6628bb43b7b7e8944d530b618b77	8bdd784e492d9735a6a4a4db08ed4db6843e25e3
Zilvermeeuw	driejaarlijks	-1.4% (-5.6%; +3.1%)	-20% (-50%; +50%)	?	niet-lineair	f256e9351432da7fc98d4947d297292c13f932e9	a375a97c86e1d3ebad2b89ecaa7f32e8bed9d49c
Zilvermeeuw	jaarlijks	-0.9% (-5.2%; +3.6%)	-10% (-50%; +60%)	?	niet-lineair	917ebd0fd28fa293d02b294147620a488eb202d9	c13453e5ae1d4199a6e46fb5b00c8e60cba68267
