soort	stratum	gewicht	aanwezig	relevant	onderzocht	totaal	bezoeken
Grasmus	Moeras en water	0.02	59.9	35	80	137	1469
Grasmus	Suburbaan	0.015	41.4	14	68	201	699
Grasmus	Urbaan	0.011	28.7	6	87	416	287
Graspieper	Heide en duin	0.05	83.1	38	91	199	2371
Graspieper	Landbouw	0.93	1540.7	104	426	6311	6945
Graspieper	Moeras en water	0.009	13.7	8	80	137	530
Graspieper	Suburbaan	0.011	14.8	5	68	201	142
Grauwe gans	Bos	0.023	10.1	6	190	319	377
Grauwe gans	Heide en duin	0.044	19.7	9	91	199	570
Grauwe gans	Landbouw	0.851	429.6	29	426	6311	2109
Grauwe gans	Moeras en water	0.082	39.4	23	80	137	1413
Groene specht	Bos	0.03	115.8	69	190	319	5072
Groene specht	Heide en duin	0.024	91.8	42	91	199	2930
Groene specht	Landbouw	0.864	3377.7	228	426	6311	14708
Groene specht	Moeras en water	0.018	68.5	40	80	137	2634
Groene specht	Suburbaan	0.025	94.6	32	68	201	1981
Groene specht	Urbaan	0.038	143.4	30	87	416	2036
Groenling	Bos	0.016	53.7	32	190	319	2320
Groenling	Heide en duin	0.012	37.2	17	91	199	1122
Groenling	Landbouw	0.852	2918.5	197	426	6311	12773
Groenling	Moeras en water	0.013	42.8	25	80	137	1629
Groenling	Suburbaan	0.028	91.6	31	68	201	2121
Groenling	Urbaan	0.08	267.8	56	87	416	3487
Grote bonte specht	Bos	0.066	225	134	190	319	8496
Grote bonte specht	Heide en duin	0.041	137.8	63	91	199	4127
Grote bonte specht	Landbouw	0.802	2755.5	186	426	6311	12120
Grote bonte specht	Moeras en water	0.023	75.3	44	80	137	2835
Grote bonte specht	Suburbaan	0.021	68	23	68	201	1535
Grote bonte specht	Urbaan	0.048	157.8	33	87	416	2254
Grote lijster	Bos	0.056	75.6	45	190	319	3441
Grote lijster	Heide en duin	0.052	67.8	31	91	199	2267
Grote lijster	Landbouw	0.874	1170.3	79	426	6311	5616
Grote lijster	Moeras en water	0.009	10.3	6	80	137	445
Grote lijster	Suburbaan	0.009	8.9	3	68	201	162
Grutto	Landbouw	0.984	414.8	28	426	6311	1920
Grutto	Moeras en water	0.016	5.1	3	80	137	216
Halsbandparkiet	Bos	0.058	8.4	5	190	319	300
Halsbandparkiet	Landbouw	0.597	88.9	6	426	6311	349
Halsbandparkiet	Moeras en water	0.069	10.3	6	80	137	393
Halsbandparkiet	Suburbaan	0.137	23.6	8	68	201	610
Halsbandparkiet	Urbaan	0.138	19.1	4	87	416	319
Havik	Bos	0.615	43.7	26	190	319	2025
Havik	Heide en duin	0.385	28.4	13	91	199	1020
Heggenmus	Bos	0.018	89	53	190	319	3917
Heggenmus	Heide en duin	0.018	89.7	41	91	199	2572
Heggenmus	Landbouw	0.853	4340.7	293	426	6311	18151
Heggenmus	Moeras en water	0.017	82.2	48	80	137	3064
Heggenmus	Suburbaan	0.03	147.8	50	68	201	3019
Heggenmus	Urbaan	0.065	325.1	68	87	416	4154
Holenduif	Bos	0.032	124.2	74	190	319	5460
Holenduif	Heide en duin	0.012	45.9	21	91	199	1764
Holenduif	Landbouw	0.891	3496.2	236	426	6311	15755
Holenduif	Moeras en water	0.016	61.6	36	80	137	2337
Holenduif	Suburbaan	0.022	82.8	28	68	201	1649
Holenduif	Urbaan	0.026	95.6	20	87	416	1295
Houtduif	Bos	0.039	233.4	139	190	319	8742
Houtduif	Heide en duin	0.03	174.9	80	91	199	4776
Houtduif	Landbouw	0.827	4962.9	335	426	6311	20354
Houtduif	Moeras en water	0.018	104.5	61	80	137	3710
Houtduif	Suburbaan	0.028	165.5	56	68	201	3245
Houtduif	Urbaan	0.058	344.3	72	87	416	4343
Huismus	Bos	0.004	16.8	10	190	319	753
Huismus	Heide en duin	0.009	41.5	19	91	199	1037
Huismus	Landbouw	0.882	4177.7	282	426	6311	17329
Huismus	Moeras en water	0.009	41.1	24	80	137	1495
Huismus	Suburbaan	0.023	103.5	35	68	201	2302
Huismus	Urbaan	0.073	339.5	71	87	416	4314
Huiszwaluw	Bos	0.01	5	3	190	319	126
Huiszwaluw	Landbouw	0.932	651.8	44	426	6311	1894
Huiszwaluw	Moeras en water	0.017	10.3	6	80	137	258
Huiszwaluw	Urbaan	0.041	23.9	5	87	416	217
Kauw	Bos	0.018	87.3	52	190	319	3905
Kauw	Heide en duin	0.017	85.3	39	91	199	2554
Kauw	Landbouw	0.859	4385.1	296	426	6311	18523
Kauw	Moeras en water	0.015	73.6	43	80	137	2666
Kauw	Suburbaan	0.026	130.1	44	68	201	2782
Kauw	Urbaan	0.065	325.1	68	87	416	4105
Kievit	Bos	0.006	26.9	16	190	319	1137
Kievit	Heide en duin	0.006	26.2	12	91	199	936
Kievit	Landbouw	0.965	4355.5	294	426	6311	18286
Kievit	Moeras en water	0.01	41.1	24	80	137	1573
Kievit	Suburbaan	0.005	20.7	7	68	201	395
Kievit	Urbaan	0.007	28.7	6	87	416	449
Kleine karekiet	Heide en duin	0.02	15.3	7	91	199	264
Kleine karekiet	Landbouw	0.883	770.4	52	426	6311	2358
Kleine karekiet	Moeras en water	0.077	65.1	38	80	137	1734
Kleine karekiet	Suburbaan	0.02	14.8	5	68	201	130
Kleine mantelmeeuw	Landbouw	0.84	177.8	12	426	6311	753
Kleine mantelmeeuw	Moeras en water	0.089	17.1	10	80	137	710
Kleine mantelmeeuw	Suburbaan	0.07	11.8	4	68	201	355
Kneu	Bos	0.01	15.1	9	190	319	857
Kneu	Heide en duin	0.048	83.1	38	91	199	2229
Kneu	Landbouw	0.913	1614.8	109	426	6311	7374
Kneu	Moeras en water	0.013	20.6	12	80	137	698
Kneu	Suburbaan	0.017	26.6	9	68	201	542
Knobbelzwaan	Heide en duin	0.299	10.9	5	91	199	330
Knobbelzwaan	Moeras en water	0.701	30.8	18	80	137	1283
Koekoek	Bos	0.03	47	28	190	319	1429
Koekoek	Heide en duin	0.05	80.9	37	91	199	1686
Koekoek	Landbouw	0.877	1407.4	95	426	6311	4427
Koekoek	Moeras en water	0.034	53.1	31	80	137	1363
