soort,frequentie,schatting,lcl,ucl,jaarlijks,looptijd,klasse,verloop,analysis,status
Middelste Bonte Specht,driejaarlijks,1.01,0.98,1.041,+1.0% (-2.0%; +4.1%),+20% (-30%; +80%),?,mogelijk niet-lineair,4da05133192ea8b72facc8c3f647b34d3c8aad98,5faacab79a6c056f8bcb9ba0bbc296cde924dfbd
Middelste Bonte Specht,jaarlijks,1.012,0.982,1.043,+1.2% (-1.8%; +4.3%),+20% (-20%; +90%),?+,niet-lineair,80db8c40bdfa2880829b1c21b9fa6be55b5271a1,8fc8f512afd6c66d8ad71765d8d36d441bf854e1
Nachtegaal,driejaarlijks,0.991,0.968,1.015,-0.9% (-3.2%; +1.5%),-13% (-39%; +25%),?-,lineair,0312127955439b4580b7a6c9e31962af9bf96cd7,0a250ac07c1d38dcf6d3d1520dfcb7a3f1889e91
Nachtegaal,jaarlijks,0.993,0.969,1.017,-0.7% (-3.1%; +1.7%),-10% (-37%; +29%),?-,niet-lineair,40cf806957a083b1244f090acbedb3b5786b52ed,88e883195025b71de1c159809a51b7e3a41f6362
Nijlgans,driejaarlijks,1.027,1.014,1.04,+2.7% (+1.4%; +4.0%),+48% (+23%; +80%),+,niet-lineair,1e102d8fb8169d40093a64093274d73bebe74ea6,9319288209ddb7451a22af5c69f60a18c6c8fde2
Nijlgans,jaarlijks,1.024,1.011,1.037,+2.4% (+1.1%; +3.7%),+43% (+18%; +73%),+,lineair,6d850ffdc84fe6e4d9b9f94de334028672be5112,bd16052c21bf1f6f8b2ca74e75d4f29202173f03
Patrijs,driejaarlijks,0.957,0.945,0.969,-4.3% (-5.5%; -3.1%),-48% (-57%; -38%),--,niet-lineair,713eb176b2d015fb6cdda64033b299fde62b6bad,eea9fd64f2a0778dea2d5a4103553df9110dcdc7
Patrijs,jaarlijks,0.958,0.946,0.97,-4.2% (-5.4%; -3.0%),-47% (-56%; -37%),--,niet-lineair,716133e80718e07f7a8da314de0e3fcaa0d109d5,a3257a719d5f089899ccc96155afa1086a05b6eb
Pimpelmees,driejaarlijks,1.01,1.005,1.015,+1.032% (+0.538%; +1.532%),+17% (+8%; +26%),+~,lineair,0a6e14ab1d54d65483512198015dc7e5e3b82b4d,6635fbd016a6bbcce4edc3d7a1acca502492c263
Pimpelmees,jaarlijks,1.011,1.006,1.016,+1.116% (+0.622%; +1.613%),+18% (+10%; +27%),+~,lineair,1e498ed982968dc5a60444a00bd46c7dae624eaa,80b7cc540d6d1dea845d9d1f6a6a280c07bdbcdf
Putter,driejaarlijks,1.123,1.091,1.155,+12.27% (+9.10%; +15.53%),+470% (+270%; +770%),++,niet-lineair,2fc5de6b3613d09fa8999d929234bedff31313ba,6bad946499811fe545e29a5c8b060b5919a30504
Putter,jaarlijks,1.124,1.092,1.157,+12.41% (+9.20%; +15.73%),+480% (+270%; +790%),++,niet-lineair,d24f1038d81955d2ce156c691360fb54cd8b5c7e,62b4c11676bce83200d1c249e23ebaddefcc975b
Rietgors,driejaarlijks,0.995,0.977,1.012,-0.5% (-2.3%; +1.2%),-8% (-29%; +20%),?-,niet-lineair,d682cbffd84997e09129a9362925a2a804b69d75,68e3aaee5931781c42bcb8ea53bab36f28e451fb
Rietgors,jaarlijks,0.994,0.977,1.012,-0.6% (-2.3%; +1.2%),-8% (-29%; +20%),?-,lineair,2c7ccc4f80f587f1a119754225b1efaa60a8a16e,a4411d7a9212ac5448306037ab2a7b347aa85df5
Rietzanger,driejaarlijks,1.008,0.994,1.022,+0.8% (-0.6%; +2.2%),+13% (-8%; +38%),?+,mogelijk niet-lineair,91c85c04698fd450870c0af0c95fc3687198a50e,3a9809bed102ffc8bdcdd4ef3134984cf4a4f085
Rietzanger,jaarlijks,1.009,0.995,1.022,+0.9% (-0.5%; +2.2%),+14% (-7%; +39%),?+,niet-lineair,ffe8067904d780caca8fad118525f6faac0ed45f,31fb04eea76e076df34a8c8a8a8bfb55bc1df095
Ringmus,driejaarlijks,0.943,0.929,0.957,-5.7% (-7.1%; -4.3%),-59% (-67%; -48%),--,lineair,8018333c06c02f948cab9fe5cbfa7ddb5346af3a,a94e412a21290c96b1e4f4b962c94d327d6b5c10
Ringmus,jaarlijks,0.943,0.929,0.957,-5.7% (-7.1%; -4.3%),-59% (-67%; -48%),--,niet-lineair,5e6be0b7a322e20563148a3b75eed8ab9c1c36d4,ea0d10cb52d05a12ec96ea168dd90ea49df88f4b
Roek,driejaarlijks,1.112,1.078,1.148,+11.23% (+7.82%; +14.75%),+390% (+210%; +690%),++,mogelijk niet-lineair,ff24c8ea3b52cf97e6b295919ca27706d22e384b,bd98dc7c7ac5bbc2684d805ede1f2286c93dca22
Roek,jaarlijks,1.118,1.083,1.153,+11.75% (+8.27%; +15.33%),+430% (+230%; +750%),++,niet-lineair,51746e9cdd7e85e481386cb6b506d467c16ef118,0fdd582da3277bf681de36bddd31dd312545ec02
Roodborst,driejaarlijks,1.024,1.019,1.029,+2.4% (+1.9%; +2.9%),+42% (+32%; +54%),+,niet-lineair,37568bb64a00ac8eac14fadfbaa07befd52dc431,4fd855838ead25a9745a74d15718711c549782fe
Roodborst,jaarlijks,1.024,1.019,1.03,+2.4% (+1.9%; +3.0%),+44% (+33%; +55%),+,niet-lineair,824b37ac05bf0f2ec6ed6db9ea0b8869097f2390,6b4f1be7e1ec7e9aef6d51b514ea38679759c133
Roodborsttapuit,driejaarlijks,1.041,1.025,1.057,+4.1% (+2.5%; +5.7%),+81.6% (+44.1%; +128.8%),++,niet-lineair,83957bc3b5b22f1006913574e24755b62b8511c4,403c0f3023c130ddd7443d2548dccc67c9019d0b
Roodborsttapuit,jaarlijks,1.041,1.026,1.058,+4.1% (+2.6%; +5.8%),+83.9% (+45.9%; +131.6%),++,niet-lineair,05bccfc9a5c17265a57702c61d295d15a45313c9,f2d61c51e84d025f5538b298a07b979baeb5f623
Scholekster,driejaarlijks,0.989,0.98,0.998,-1.06% (-1.95%; -0.16%),-15% (-26%; -2%),-,niet-lineair,e8c3f885045a5b1ff151a63dac433a552e7e5f26,ffbf1abf7f9e8c628fe78b9462ed23b104b8efce
Scholekster,jaarlijks,0.988,0.979,0.997,-1.2% (-2.1%; -0.3%),-16% (-27%; -4%),-,niet-lineair,a54909d6d87ce083a9711abdf7a57d2352a7df53,8f2c52778c046c7f953bf50091fa5720c6d935f2
Sperwer,driejaarlijks,1.031,1.004,1.06,+3.1% (+0.4%; +6.0%),+59% (+6%; +139%),+,niet-lineair,8165ed1a8e444a679ac45b3cddb7cbe288273c7d,9272928c21a6e307256b05eed1ff69403cbff68a
Sperwer,jaarlijks,1.028,1.001,1.057,+2.8% (+0.1%; +5.7%),+52% (+1%; +129%),+,niet-lineair,8b287342d84fd88eb16043496f3d5c30f4b820fc,656689156fcbf4f796caddbccd83082015734f1a
Spotvogel,driejaarlijks,0.981,0.95,1.013,-1.9% (-5.0%; +1.3%),-25% (-53%; +22%),?-,niet-lineair,613ad923533299afd8ed60217868db6c38c01a49,76a07ab359187ff6d6b9b51df5fd1f4bdb34cd8b
Spotvogel,jaarlijks,0.985,0.954,1.016,-1.5% (-4.6%; +1.6%),-21% (-51%; +28%),?-,niet-lineair,342382a5b2402fc843011b7cbba3366ecacf92e2,67d3468c02a0a10c0ce6f23fa87c81b44041c6a9
Spreeuw,driejaarlijks,0.977,0.971,0.983,-2.3% (-2.9%; -1.7%),-29% (-35%; -23%),-,lineair,e90382a2ab6b3a48f103b388bfccf519ba697088,5e1a14027a14a88ece0039f52b5fb62e6dbf3199
Spreeuw,jaarlijks,0.977,0.971,0.983,-2.3% (-2.9%; -1.7%),-30% (-36%; -23%),-,lineair,f5859f6e2858a3761cca8ae14165476b5fe78d43,d3350941025380795e390af453b4905e954143f5
Sprinkhaanzanger,driejaarlijks,0.909,0.879,0.94,-9.15% (-12.15%; -6.05%),-76% (-86%; -61%),--,lineair,a5d46f004e60dae27272ad4d5e73cd4595ea8b70,2cf5b772ab39cf2d2624a3c457143a613de5e188
Sprinkhaanzanger,jaarlijks,0.914,0.885,0.944,-8.59% (-11.53%; -5.55%),-74% (-84%; -58%),--,lineair,7de91e719b3776266f3897add39501494316d42c,5028541633308cee921b7ee46f1337ae973d5071
Staartmees,driejaarlijks,0.989,0.966,1.012,-1.1% (-3.4%; +1.2%),-16% (-41%; +20%),?-,niet-lineair,ca3459b06abc6cf5df054b6f2ae9b34063c6422b,5283d4473a14d647f78ab146258c110252b83bcb
Staartmees,jaarlijks,0.991,0.968,1.014,-0.9% (-3.2%; +1.4%),-13% (-39%; +23%),?-,niet-lineair,cc6bb803d8ec61ff5d2bf01e3f381740f832df5d,11a7f54b07ea5630530a065211d90ba4294ea5c4
Stadsduif,driejaarlijks,0.943,0.919,0.968,-5.7% (-8.1%; -3.2%),-58% (-72%; -38%),--,niet-lineair,31dba93697fd6f7c972b3cc5f6b12e2ab2ca0f42,2011ae0b9ff11c2bdc4e7e494c3cd1eb5739c7b3
Stadsduif,jaarlijks,0.946,0.922,0.971,-5.4% (-7.8%; -2.9%),-56% (-70%; -36%),--,niet-lineair,ee84637deb60444d7d78c13ed4b43ce8317de936,65cf6aea9509d27107ddf5a520db5cf72899f7d4
Tafeleend,driejaarlijks,1.023,0.986,1.061,+2.3% (-1.4%; +6.1%),+40% (-19%; +144%),?+,niet-lineair,951a137962a8e9396400a07701609a7a45d23a0c,a8a2764e5c8eecc77552546032bd6b0b8cacd35f
Tafeleend,jaarlijks,1.026,0.987,1.067,+2.6% (-1.3%; +6.7%),+48% (-18%; +166%),?+,niet-lineair,cbe568666381228bafc048cb927eb337b71426a3,6308e2c8d84a28be1297d7c5cc010114c678033f
Tjiftjaf,driejaarlijks,1.009,1.006,1.013,+0.948% (+0.615%; +1.281%),+15% (+10%; +21%),+~,niet-lineair,4a084499c119e100aa8d1ddf5769775d92704675,1ecab0041643afcd62960c9531ea07b7e904f655
Tjiftjaf,jaarlijks,1.01,1.007,1.013,+1.005% (+0.672%; +1.329%),+16% (+11%; +22%),+~,niet-lineair,1f6c0f41e72a4c991a2876fbb881732e90028690,d6946449886c47d85a410cda546d9fb9f3f2003f
Torenvalk,driejaarlijks,1.019,1.006,1.033,+1.9% (+0.6%; +3.3%),+33% (+9%; +62%),+,niet-lineair,5ef5ef8dac7648cb6b6762db7265223c5b1d4daf,f29ae7092d0dc816cd4cf6747db3a6acedbf0972
Torenvalk,jaarlijks,1.021,1.007,1.034,+2.1% (+0.7%; +3.4%),+36% (+11%; +66%),+,niet-lineair,e9a5b3fe3a86541ad1b84a58838b728eeaf4ff81,e1f700773d394bab4bf3a26ccde71c26b290fbc0
Tuinfluiter,driejaarlijks,0.948,0.933,0.963,-5.2% (-6.7%; -3.7%),-55% (-65%; -43%),--,lineair,0e87cc01d2d53927ee8ba8bffa6098f3e09fbfbf,8829ba703e17e04f0df340751f93910fec325e9e
Tuinfluiter,jaarlijks,0.947,0.932,0.963,-5.3% (-6.8%; -3.7%),-56% (-65%; -44%),--,niet-lineair,bdc4d19d1d0663ba68eb3f31aff78a5d06c0a796,0531461fe30314df2cc395580ba59b6d5ff44c71
Turkse tortel,driejaarlijks,0.982,0.979,0.985,-1.81% (-2.13%; -1.49%),-24.0% (-27.6%; -20.1%),-,niet-lineair,a439fb3ae6b8f0bed86706f7fe6937ba5829adb6,01c52ca5ab3cffd9fb6c41990f662d8a3ac3bddc
Turkse tortel,jaarlijks,0.982,0.979,0.986,-1.77% (-2.10%; -1.45%),-23.5% (-27.2%; -19.7%),-,niet-lineair,28da338bd6576ec75370baadd96cedcf148afcba,7572b405f37df2655876de7df4a7adf860ba07b0
Veldleeuwerik,driejaarlijks,0.975,0.969,0.98,-2.5% (-3.1%; -2.0%),-32% (-37%; -26%),--,lineair,1ef3ded7afe313b661ee23405bb33b59aedd1e1b,b49a8369ee934e735b688a76dfceb698596786cb
Veldleeuwerik,jaarlijks,0.975,0.969,0.98,-2.5% (-3.1%; -2.0%),-32% (-37%; -26%),--,niet-lineair,9ff109bce59bb5500e141df00ca6e04cf31b7d03,aed6097c3452b908593b7dbc50af08f3871a1033
Vink,driejaarlijks,1.01,1.007,1.012,+0.961% (+0.692%; +1.231%),+15.4% (+10.9%; +20.1%),+~,lineair,181081d8c96a27f3200f4778508c923cfd5a4fbb,b3e732f9d5ef56c32a458525d7d476168db34df2
Vink,jaarlijks,1.01,1.007,1.012,+0.985% (+0.713%; +1.248%),+15.8% (+11.2%; +20.4%),+~,niet-lineair,9dd1f5e423e081734d4e905f690e20b9ccc148ad,8f2cb9a43320f58afc5f91111b8637e2a60e2463
Waterhoen,driejaarlijks,0.972,0.963,0.981,-2.8% (-3.7%; -1.9%),-35% (-43%; -26%),--,niet-lineair,4d26d00e8195ffebbf844c421bf73a727beea793,f83ca606a44b077f37cba3bed5d0ac155005ae86
Waterhoen,jaarlijks,0.972,0.964,0.981,-2.8% (-3.6%; -1.9%),-34% (-43%; -25%),--,niet-lineair,4d6de9346ababfd148d1d8a0f3086d8a718df78b,87f9e5b9eacd5a759e15dafa0f6b99670a435a07
Wielewaal,driejaarlijks,0.946,0.915,0.979,-5.4% (-8.5%; -2.1%),-56% (-74%; -27%),--,niet-lineair,b3fe8bcdfd79dcc31128af2a94d93827faf7f941,32eff00744d9bf9eb5674338e1d71a6848ffcd90
Wielewaal,jaarlijks,0.945,0.914,0.978,-5.5% (-8.6%; -2.2%),-57% (-74%; -29%),--,niet-lineair,a42824de08b3a87abea74698cd2e3583601a753f,a978acddf21dd10f66875402dfbc47319c6d6ecb
Wilde eend,driejaarlijks,0.975,0.968,0.981,-2.5% (-3.2%; -1.9%),-32% (-38%; -25%),--,lineair,9fd30f36a2cef5739ce10c91745d53aa18e5b279,aa95f8693b3166c70d62524032300d509c6d33fd
Wilde eend,jaarlijks,0.975,0.969,0.981,-2.5% (-3.1%; -1.9%),-32% (-38%; -25%),-,niet-lineair,f6fb097e85ef99d3fd3003ec0e63b57e2cb5ec46,e0d131d83409a2ff7baf95b0c2d74e24774f108e
Winterkoning,driejaarlijks,0.99,0.988,0.993,-0.992% (-1.249%; -0.737%),-13.89% (-17.18%; -10.51%),-~,niet-lineair,71de8a3634dce61cbcb48ddc98a3cae0cc568d77,72f817e2617f4a3f7558206969299be53405af3e
Winterkoning,jaarlijks,0.991,0.988,0.994,-0.896% (-1.153%; -0.648%),-12.63% (-15.97%; -9.29%),-~,niet-lineair,bba560d65ad03c39bacac35052c7f8baba175569,48f1c6feccf5d0823271423d4a6fb21741281dc3
Witte kwikstaart,driejaarlijks,1.017,1.01,1.024,+1.7% (+1.0%; +2.4%),+29% (+16%; +42%),+,niet-lineair,aa2a645edb15b591ceee3f50b2f7757f0e289499,67a71757712974a6e6c376ffb487deb4751f3c98
Witte kwikstaart,jaarlijks,1.017,1.01,1.023,+1.7% (+1.0%; +2.3%),+28% (+16%; +42%),+,niet-lineair,f96c097fefc87d15d733a9e8c45c8b76b3aafa80,de019eab64feba475717cd78885f2884906fb58e
Wulp,driejaarlijks,0.983,0.966,1,-1.7% (-3.4%; -0.0%),-23% (-41%; -0%),-,niet-lineair,7a396e5e05693af6934968c811e113597d222e7f,5bf6599afdb2b8e3914a533a8338fb85eedd65e2
Wulp,jaarlijks,0.985,0.968,1.002,-1.5% (-3.2%; +0.2%),-21% (-39%; +2%),?-,niet-lineair,7d85c086e546bb1aee968444371ef7eaff6a7c79,a05b4009986af9f49e202d19a42af47127d671c5
Zanglijster,driejaarlijks,0.967,0.962,0.972,-3.30% (-3.79%; -2.82%),-39.6% (-44.0%; -34.9%),--,niet-lineair,68a53218105ff1db41e322513e2173dd28f8e634,366c9306fb5c9326a24af8f5f633ec544c5639b8
Zanglijster,jaarlijks,0.968,0.963,0.973,-3.20% (-3.68%; -2.71%),-38.6% (-43.0%; -33.8%),--,niet-lineair,d5c76f405a06aa546287168e2bbe2a7041a04419,a05124542a1c98c891671c1266e541b5126e3485
Zilvermeeuw,driejaarlijks,0.943,0.91,0.977,-5.7% (-9.0%; -2.3%),-59% (-76%; -30%),--,niet-lineair,5ba800ff8e1051529305dcc133b0aa93462c2b2e,6aa70284f92658fa76fb0e5c71b0c75f9e196975
Zilvermeeuw,jaarlijks,0.948,0.915,0.982,-5.2% (-8.5%; -1.8%),-55% (-74%; -24%),-,niet-lineair,9f87033aa8f8f11dcde55ab76dd927a3636e2989,2715ed48af65d79b9c0ce23a13e3d50c714ca6f2
Zwarte kraai,driejaarlijks,1.013,1.01,1.016,+1.305% (+0.992%; +1.620%),+21% (+16%; +27%),+~,niet-lineair,0cc2715da03fa778fcd6c17c03e32f01effbac37,3f1cd2f90fd9324c56d75208ae66d23cd15ef84b
Zwarte kraai,jaarlijks,1.013,1.01,1.016,+1.298% (+0.995%; +1.613%),+21% (+16%; +27%),+~,niet-lineair,74f94df19d2871e965a0158f07b38dff6d15dc90,8d6dcfa88afcdf4f74339e100bc66f80d4751f03
Zwarte mees,driejaarlijks,0.947,0.921,0.974,-5.3% (-7.9%; -2.6%),-56% (-71%; -32%),--,lineair,69007ac0e9f618e160776a37bb669ed3dba8409e,db560f1542d26cd5dbe7d97c4d2b394dabab827a
Zwarte mees,jaarlijks,0.95,0.923,0.978,-5.0% (-7.7%; -2.2%),-54% (-70%; -29%),--,niet-lineair,15885a49fc3365c8e1f2caadf6bd6c447a0871cb,7d8b24b52bfcfc07a7b62cae408b79bf5b1441c5
Zwarte roodstaart,driejaarlijks,1.023,1.014,1.032,+2.3% (+1.4%; +3.2%),+41% (+23%; +61%),+,niet-lineair,1cf40c8e1dbeef4c21239cd8533eff14b0fc695a,f3dbe0ab7a1434507560ed3fb174a033a792eea6
Zwarte roodstaart,jaarlijks,1.023,1.014,1.032,+2.3% (+1.4%; +3.2%),+40% (+23%; +60%),+,niet-lineair,856dbcd3bbaa547ee001689f6b2ceac699ac6fb9,3e68c6963751b4dd39b1ef3fb807ecc7017b34ef
Zwarte specht,driejaarlijks,0.985,0.961,1.011,-1.5% (-3.9%; +1.1%),-20% (-45%; +17%),?-,niet-lineair,b9a86660d605c5d809fc70479e6d9c67c25e5f60,ea9309c0b082dbb6b142d1425ff70b6df2de119e
Zwarte specht,jaarlijks,0.986,0.96,1.012,-1.4% (-4.0%; +1.2%),-20% (-45%; +19%),?-,niet-lineair,11aaf03ec06e0d84878504b9c502c627df8aff4a,8140ce4582ee9f135c0deed40f473beacfd2fb07
Zwartkop,driejaarlijks,1.022,1.018,1.026,+2.21% (+1.82%; +2.61%),+39% (+31%; +47%),+,niet-lineair,18aeb3309fb862bac18efa79c02247f8476b2e6b,6cdc66ee534bc9b273e187069188b8018f12c786
Zwartkop,jaarlijks,1.023,1.019,1.027,+2.28% (+1.88%; +2.66%),+40% (+32%; +48%),+,niet-lineair,68a1791aa2fbf07b9da2aecddf9401b5d0cb1d24,ac4686422a6daf4987a4e42c061359b7b3eda959
