soort,frequentie,schatting,lcl,ucl,jaarlijks,looptijd,klasse,verloop,analysis,status
Ekster,driejaarlijks,0.999,0.994,1.003,-0.15% (-0.56%; +0.25%),-2% (-7%; +4%),~,niet-lineair,4b2bce400628bd8a255187deee5705e857a7feb1,512c2e10978c93299065c6b4cb6008b5a6d0c0a7
Ekster,jaarlijks,0.999,0.995,1.003,-0.12% (-0.52%; +0.28%),-2% (-7%; +4%),~,niet-lineair,81e8fe79995c3c2387738f6926dc69452c44b22c,f9fc422d74cc36907c496a8f303eb6faf03807f3
Fazant,driejaarlijks,0.993,0.988,0.997,-0.724% (-1.180%; -0.266%),-9.7% (-15.3%; -3.7%),-~,niet-lineair,20732b259d9d1efc40aee83d66243f9ab70ba662,80e8fe702637a41f3bcd68a6cb1d1c9b6cceac8a
Fazant,jaarlijks,0.993,0.989,0.998,-0.698% (-1.143%; -0.240%),-9.3% (-14.9%; -3.3%),-~,niet-lineair,55452ea05a0236915922931e7ce237e003e9270c,c33ea40d4afa4e314b4cc33c77d42c2f7a1fae45
Fitis,driejaarlijks,0.949,0.934,0.965,-5.1% (-6.6%; -3.5%),-52% (-62%; -39%),--,lineair,57a3c734ef21607d9e0a90d46a04b0edf3233b08,ffcae70c0bc3401e5cc849821f7107dfdb4cacb6
Fitis,jaarlijks,0.948,0.932,0.964,-5.2% (-6.8%; -3.6%),-53% (-63%; -40%),--,niet-lineair,0f8e0a8b4ad5db3c22bffcd0ee1f541c2567623a,453bbde8be853a85f605fcc06764cd484412ccbe
Fuut,driejaarlijks,0.992,0.97,1.015,-0.8% (-3.0%; +1.5%),-11% (-35%; +22%),?-,niet-lineair,3708c04bce781792e68c2022fedd834d08ff2a50,ef6ef1373a9c11a469293da22c3236ba5eba846b
Fuut,jaarlijks,0.991,0.97,1.011,-0.9% (-3.0%; +1.1%),-12% (-34%; +17%),?-,niet-lineair,adf4a2322dda65413cf81cfff3baae2805c81b0a,9049ff5d8f5a7fb2b78472250e6c3b7b12199469
Gaai,driejaarlijks,0.993,0.984,1.002,-0.70% (-1.59%; +0.21%),-9% (-20%; +3%),~,niet-lineair,dd84f0348f5755d9dc1dc38c93d140bedc5f5042,bf235e3b374f189e15c158b3959f5d35fcd87083
Gaai,jaarlijks,0.994,0.986,1.003,-0.56% (-1.44%; +0.33%),-7.5% (-18.4%; +4.7%),~,niet-lineair,f89b1ff86d86e8e0d118e9da2d96e4716d137ef4,1ae267edc3132c997eb9d8313eba87adce1fdde8
Geelgors,driejaarlijks,0.979,0.967,0.99,-2.1% (-3.3%; -1.0%),-26% (-38%; -13%),-,niet-lineair,850dffeca2ce88422c6919f3d8bb9e90eb137fd9,dfc69f881746ad51f8033afcd0107f45a6f6b8a5
Geelgors,jaarlijks,0.979,0.967,0.991,-2.1% (-3.3%; -0.9%),-26% (-37%; -12%),-,niet-lineair,804df4b250984cf2a57f479ad4bcf79d73ac68bb,fb716df76123435af4b27c76959ccdc5f92f13bd
